timestamp,x,y,z,w
1509765196283824,0.0951538,-0.23645,0.943237,0.212708
1509765196306829,0.0951538,-0.236389,0.943298,0.212708
1509765196322899,0.0951538,-0.23645,0.943237,0.212708
1509765196343441,0.0951538,-0.23645,0.943237,0.212708
1509765196366456,0.0951538,-0.23645,0.943237,0.212708
1509765196388482,0.0951538,-0.23645,0.943237,0.212708
1509765196411500,0.0950928,-0.23645,0.943298,0.212708
1509765196428670,0.0951538,-0.236389,0.943298,0.212708
1509765196457680,0.0951538,-0.236389,0.943298,0.212708
1509765196464685,0.0950928,-0.236389,0.943298,0.212708
1509765196519245,0.0949707,-0.236267,0.943298,0.212708
1509765196520244,0.0946655,-0.236206,0.943359,0.212769
1509765196531784,0.0943604,-0.236145,0.943359,0.212891
1509765196554843,0.0940552,-0.236023,0.94342,0.213074
1509765196565813,0.09375,-0.235962,0.94342,0.213257
1509765196593839,0.09375,-0.235962,0.94342,0.213257
1509765196607841,0.093689,-0.235901,0.94342,0.213257
1509765196643948,0.093689,-0.235962,0.94342,0.213257
1509765196653965,0.0936279,-0.235596,0.943481,0.213257
1509765196667958,0.0936279,-0.235474,0.943542,0.213196
1509765196688981,0.0936279,-0.235474,0.943542,0.213196
1509765196705994,0.0936279,-0.235352,0.943542,0.213379
1509765196736106,0.0936279,-0.235352,0.943542,0.213379
1509765196759112,0.0936279,-0.235352,0.943542,0.213379
1509765196766120,0.093689,-0.235352,0.943542,0.213379
1509765196788135,0.0936279,-0.235413,0.943542,0.213379
1509765196809158,0.093689,-0.235474,0.943481,0.213318
1509765196832231,0.093689,-0.235474,0.943481,0.213318
1509765196856242,0.0938721,-0.235596,0.943542,0.213013
1509765196862249,0.0941772,-0.235535,0.943542,0.212769
1509765196886270,0.0944824,-0.234985,0.943665,0.212708
1509765196909295,0.0940552,-0.234985,0.943665,0.213074
1509765196931440,0.09375,-0.234619,0.943848,0.21283
1509765196945448,0.0935059,-0.234863,0.944031,0.211853
1509765196968463,0.0933228,-0.235107,0.944214,0.210815
1509765196989488,0.0930786,-0.234558,0.944519,0.209961
1509765197021018,0.0928955,-0.233643,0.945007,0.208984
1509765197035558,0.0928955,-0.233398,0.945251,0.20813
1509765197049568,0.0932007,-0.233337,0.945374,0.207458
1509765197065580,0.0931396,-0.232788,0.945557,0.207336
1509765197088602,0.0927734,-0.232056,0.94574,0.207458
1509765197109626,0.0925903,-0.231628,0.945923,0.207275
1509765197133164,0.0923462,-0.231567,0.945984,0.207214
1509765197154191,0.0922852,-0.231323,0.945984,0.207397
1509765197177192,0.0922241,-0.231384,0.945984,0.207397
1509765197186213,0.0918579,-0.230713,0.946167,0.20752
1509765197208215,0.0914917,-0.230652,0.946289,0.207153
1509765197229779,0.0923462,-0.230774,0.946411,0.206177
1509765197245789,0.093811,-0.230896,0.946472,0.205078
1509765197275810,0.0952759,-0.23114,0.946411,0.204346
1509765197289821,0.0965576,-0.230957,0.946289,0.204651
1509765197305832,0.0973511,-0.232178,0.945801,0.205078
1509765197335915,0.0980225,-0.232788,0.945435,0.20575
1509765197348924,0.0979614,-0.233154,0.94519,0.206421
1509765197365936,0.0975952,-0.233765,0.945007,0.206848
1509765197387950,0.0976563,-0.233948,0.944885,0.206909
1509765197410967,0.0976563,-0.233948,0.944885,0.207092
1509765197433501,0.0973511,-0.233765,0.944885,0.207397
1509765197456516,0.09729,-0.233337,0.944946,0.20752
1509765197470527,0.0973511,-0.233337,0.944946,0.20752
1509765197485537,0.0973511,-0.233337,0.944946,0.20752
1509765197508555,0.097229,-0.233582,0.944885,0.207703
1509765197547603,0.09729,-0.233582,0.944885,0.207703
1509765197551605,0.0969849,-0.233337,0.944885,0.207947
1509765197569619,0.0966187,-0.233826,0.944824,0.207947
1509765197591634,0.0966187,-0.233826,0.944824,0.207947
1509765197604644,0.0966187,-0.233887,0.944824,0.207947
1509765197641677,0.0966187,-0.233887,0.944824,0.207947
1509765197650683,0.0965576,-0.233765,0.944824,0.208008
1509765197673699,0.0963135,-0.233826,0.944824,0.208069
1509765197694715,0.0963135,-0.233887,0.944824,0.208069
1509765197710724,0.0961304,-0.234192,0.944763,0.208069
1509765197733281,0.0961304,-0.234192,0.944763,0.208069
1509765197754297,0.0960083,-0.234375,0.944702,0.208191
1509765197770307,0.0960083,-0.234375,0.944702,0.208191
1509765197824862,0.0960083,-0.234375,0.944702,0.208191
1509765197838461,0.0960083,-0.234436,0.944702,0.20813
1509765197841460,0.0959473,-0.234436,0.944702,0.20813
1509765197868481,0.0959473,-0.234436,0.944702,0.20813
1509765197874483,0.0959473,-0.234436,0.944702,0.20813
1509765197890486,0.0958862,-0.234619,0.944641,0.208252
1509765197921022,0.0958862,-0.23468,0.944641,0.208252
1509765197936039,0.0958252,-0.23468,0.944641,0.208252
1509765197951051,0.0958252,-0.234619,0.944641,0.208252
1509765197973067,0.0958252,-0.234619,0.944641,0.208252
1509765197996082,0.0958252,-0.234619,0.944641,0.208252
1509765198011091,0.0957642,-0.234619,0.944641,0.208252
1509765198033115,0.0960083,-0.234619,0.944641,0.20813
1509765198056132,0.0962524,-0.234741,0.944641,0.208069
1509765198124184,0.0964355,-0.234741,0.94458,0.207947
1509765198126695,0.0966797,-0.234802,0.94458,0.207825
1509765198154048,0.0971069,-0.235046,0.944519,0.207581
1509765198156035,0.0971069,-0.235107,0.944519,0.207581
1509765198176063,0.097168,-0.235046,0.94458,0.20752
1509765198198061,0.097168,-0.235107,0.94458,0.20752
1509765198221088,0.097168,-0.235107,0.944519,0.20752
1509765198251752,0.097229,-0.235352,0.944458,0.20752
1509765198264761,0.097229,-0.235352,0.944458,0.20752
1509765198273768,0.097229,-0.235352,0.944458,0.20752
1509765198295784,0.097229,-0.235352,0.944458,0.20752
1509765198309794,0.097229,-0.235352,0.944458,0.20752
1509765198332998,0.097229,-0.235352,0.944458,0.20752
1509765198394038,0.097229,-0.235413,0.944458,0.20752
1509765198424080,0.097229,-0.235413,0.944458,0.20752
1509765198426582,0.097229,-0.235413,0.944458,0.20752
1509765198444209,0.097229,-0.235413,0.944458,0.20752
1509765198453178,0.097229,-0.235474,0.944458,0.20752
1509765198475232,0.097229,-0.235474,0.944458,0.20752
1509765198481209,0.097229,-0.235474,0.944458,0.20752
1509765198499212,0.097229,-0.235474,0.944458,0.20752
1509765198521755,0.097229,-0.235474,0.944458,0.20752
1509765198543762,0.097229,-0.235535,0.944458,0.207458
1509765198586815,0.097168,-0.235535,0.944458,0.207458
1509765198611814,0.097229,-0.235535,0.944458,0.207458
1509765198613813,0.097229,-0.235596,0.944397,0.207458
1509765198634463,0.097229,-0.235596,0.944397,0.207458
1509765198657478,0.097229,-0.235596,0.944397,0.207458
1509765198669486,0.097229,-0.235657,0.944397,0.207458
1509765198677491,0.0974121,-0.235535,0.944458,0.207336
1509765198701512,0.0976563,-0.235352,0.944458,0.207275
1509765198721535,0.0978394,-0.235291,0.944519,0.207214
1509765198738702,0.0978394,-0.235291,0.944458,0.207214
1509765198758700,0.0978394,-0.235291,0.944458,0.207214
1509765198783721,0.0979004,-0.234985,0.94458,0.207153
1509765198803750,0.0980225,-0.234558,0.944702,0.20697
1509765198852214,0.0982666,-0.233948,0.944885,0.206665
1509765198865221,0.0983276,-0.233154,0.94519,0.206238
1509765198868224,0.0986938,-0.232422,0.945557,0.2052
1509765198886250,0.0993042,-0.231445,0.945923,0.204163
1509765198908262,0.0996094,-0.230408,0.946411,0.203186
1509765198919267,0.100037,-0.229309,0.946838,0.202026
1509765198956295,0.100647,-0.228088,0.947449,0.200378
1509765198961308,0.101624,-0.226929,0.947876,0.199097
1509765198979312,0.102539,-0.225586,0.948303,0.198181
1509765198998325,0.102844,-0.223999,0.948792,0.197571
1509765199031363,0.102295,-0.222473,0.949219,0.197449
1509765199039395,0.101746,-0.221069,0.949524,0.197876
1509765199058389,0.101074,-0.221497,0.949463,0.197937
1509765199081419,0.101318,-0.221497,0.949524,0.197632
1509765199099417,0.102234,-0.22052,0.949646,0.197693
1509765199118931,0.102417,-0.220581,0.949524,0.198059
1509765199144026,0.102173,-0.220947,0.94928,0.198853
1509765199190045,0.101868,-0.222107,0.948914,0.199524
1509765199202054,0.101685,-0.223511,0.948425,0.200256
1509765199210060,0.101318,-0.225098,0.948059,0.200623
1509765199224102,0.101318,-0.226196,0.947754,0.200745
1509765199247202,0.101379,-0.227051,0.947449,0.201172
1509765199261210,0.101135,-0.227722,0.947144,0.202026
1509765199279212,0.100464,-0.228394,0.946838,0.202942
1509765199299227,0.0997314,-0.229065,0.946655,0.203491
1509765199321290,0.0992432,-0.229553,0.946472,0.203796
1509765199339348,0.098938,-0.229675,0.946472,0.203918
1509765199358373,0.0986938,-0.229553,0.946472,0.204163
1509765199399387,0.0986938,-0.229492,0.946472,0.204163
1509765199403387,0.098938,-0.229614,0.946472,0.203918
1509765199421901,0.0993042,-0.229553,0.946533,0.203552
1509765199443817,0.0994263,-0.229492,0.946655,0.203125
1509765199466850,0.0996094,-0.229248,0.946777,0.202698
1509765199487847,0.0999756,-0.229187,0.946838,0.202393
1509765199517916,0.10022,-0.229309,0.946838,0.202148
1509765199531909,0.10022,-0.22937,0.946777,0.202148
1509765199539920,0.10022,-0.22937,0.946777,0.202087
1509765199568939,0.100159,-0.229797,0.946777,0.201843
1509765199583950,0.100159,-0.229797,0.946777,0.201843
1509765199605965,0.100281,-0.229614,0.946777,0.201904
1509765199628987,0.100342,-0.229614,0.946777,0.201904
1509765199639551,0.100281,-0.230042,0.946655,0.201843
1509765199660567,0.100159,-0.230652,0.946533,0.201843
1509765199712604,0.100098,-0.230713,0.946533,0.201782
1509765199723116,0.100098,-0.230774,0.946533,0.201782
1509765199736736,0.100098,-0.230774,0.946533,0.201782
1509765199742740,0.100037,-0.231384,0.946411,0.201904
1509765199759752,0.0997314,-0.232117,0.946167,0.202148
1509765199796778,0.0992432,-0.232605,0.945984,0.202637
1509765199800781,0.098938,-0.233093,0.945862,0.203003
1509765199819301,0.0988159,-0.233337,0.94574,0.203308
1509765199841851,0.0986938,-0.233337,0.945679,0.203552
1509765199856862,0.0985718,-0.233521,0.945618,0.203735
1509765199886883,0.0985107,-0.233826,0.945557,0.203735
1509765199908905,0.0985107,-0.233826,0.945557,0.203735
1509765199929415,0.0985107,-0.233826,0.945557,0.203735
1509765199938427,0.0985107,-0.233826,0.945557,0.203735
1509765199975452,0.0983276,-0.233643,0.945618,0.203674
1509765199997481,0.0980225,-0.233582,0.945679,0.203613
1509765200005475,0.0977173,-0.233459,0.945801,0.20343
1509765200020997,0.0975342,-0.233215,0.945862,0.203308
1509765200035124,0.0973511,-0.232971,0.945984,0.203247
1509765200066146,0.097168,-0.232788,0.946045,0.203247
1509765200088165,0.0968018,-0.232544,0.946106,0.203369
1509765200095169,0.0963745,-0.232178,0.946167,0.203613
1509765200118195,0.0957031,-0.23175,0.946289,0.203918
1509765200141278,0.0947876,-0.231689,0.94635,0.204041
1509765200169307,0.0940552,-0.231689,0.946472,0.203979
1509765200185319,0.0936279,-0.231506,0.946594,0.203674
1509765200201323,0.0934448,-0.231445,0.946655,0.203552
1509765200246388,0.0932007,-0.231812,0.946655,0.203369
1509765200248377,0.0927734,-0.2323,0.946655,0.203003
1509765200269391,0.0924683,-0.232544,0.946716,0.202515
1509765200290410,0.0921631,-0.232544,0.946838,0.202087
1509765200328947,0.0919189,-0.232544,0.94696,0.20166
1509765200331462,0.0917969,-0.232544,0.947083,0.201294
1509765200345659,0.0916748,-0.232361,0.947144,0.201233
1509765200364685,0.0914917,-0.232239,0.947144,0.201294
1509765200380682,0.0914917,-0.2323,0.947144,0.201294
1509765200403701,0.0915527,-0.2323,0.947144,0.201294
1509765200418741,0.0911865,-0.232361,0.947144,0.201355
1509765200440866,0.0909424,-0.232544,0.947144,0.201416
1509765200462872,0.0906372,-0.232239,0.947205,0.201599
1509765200485898,0.0897217,-0.230713,0.947632,0.20166
1509765200508905,0.0897827,-0.230042,0.947998,0.200745
1509765200530434,0.0912476,-0.229187,0.947998,0.200867
1509765200544003,0.0907593,-0.229431,0.947876,0.201355
1509765200575028,0.090332,-0.229248,0.947876,0.201721
1509765200583020,0.0900269,-0.229492,0.947876,0.201782
1509765200622563,0.0900879,-0.229736,0.947876,0.201477
1509765200643180,0.0907593,-0.22998,0.947815,0.201111
1509765200666199,0.0907593,-0.22998,0.947815,0.201111
1509765200669206,0.0906372,-0.230225,0.947754,0.201172
1509765200682207,0.0906982,-0.230469,0.947693,0.201355
1509765200703219,0.0907593,-0.230896,0.94751,0.201477
1509765200718739,0.0908203,-0.231018,0.947449,0.201599
1509765200741306,0.0907593,-0.231201,0.947388,0.201721
1509765200763320,0.0904541,-0.231384,0.947327,0.201782
1509765200785337,0.090271,-0.231628,0.947327,0.201843
1509765200808352,0.0901489,-0.231873,0.947327,0.20166
1509765200823385,0.0900879,-0.232117,0.947266,0.201416
1509765200838431,0.0900879,-0.232239,0.947327,0.201233
1509765200874467,0.0901489,-0.232178,0.947388,0.20105
1509765200906494,0.09021,-0.231995,0.947388,0.201172
1509765200908481,0.0899048,-0.231567,0.947449,0.201294
1509765200921005,0.0895386,-0.231445,0.947632,0.200806
1509765200943028,0.0899048,-0.231079,0.947754,0.200378
