timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1509765196520744,2,24,-3,-16,0,-1,-7,-2
1509765196520744,2,-6,-9,4,2,-2,-2,0
1509765196521760,-3,-27,5,0,1,1,3,1
1509765196521760,-3,7,0,0,-5,-5,0,-1
1509765196525747,2,18,4,3,-5,1,-3,-2
1509765196525747,-7,9,5,0,2,2,-1,0
1509765196526250,-2,-20,-1,2,6,1,1,1
1509765196526250,0,-2,-3,-2,-2,0,3,-1
1509765196532783,-1,9,-9,1,-4,-6,-3,-4
1509765196532783,0,2,0,-5,-2,2,-3,-1
1509765196540792,-2,-20,-1,1,3,0,3,1
1509765196540792,-3,0,-3,-4,-4,-3,-1,-3
1509765196555808,0,15,1,0,-3,-2,-4,-2
1509765196555808,4,-2,-1,1,0,1,-2,0
1509765196562809,-5,-19,-1,-3,1,1,2,1
1509765196562809,-2,5,-5,-4,-3,-1,-2,-3
1509765196576815,2,10,1,-2,-4,-1,-1,-1
1509765196576815,-1,-2,4,-3,-1,-3,-3,-1
1509765196592852,-5,-11,11,22,1,-2,3,0
1509765196592852,-2,1,-12,-15,-1,-2,-1,-3
1509765196593839,-1,1,-4,-17,-6,-4,-3,-1
1509765196593839,2,1,7,16,5,6,-1,1
1509765196606847,4,-4,4,-20,-4,-2,-1,2
1509765196606847,0,3,-24,14,-2,-2,-1,0
1509765196629939,2,1,6,2,0,-2,-1,0
1509765196629939,-7,-18,-25,-8,-6,-4,-2,-1
1509765196654948,-1,27,6,12,-5,-4,1,-5
1509765196654948,3,34,10,-10,-5,-1,-4,-3
1509765196654948,-2,-26,-26,3,4,2,-3,-3
1509765196654948,-8,-38,-1,2,3,1,0,-1
1509765196655951,-1,-7,-3,-4,-5,-3,1,0
1509765196655951,0,20,3,1,-6,1,-3,-3
1509765196667958,4,13,7,-4,-4,-1,-3,0
1509765196667958,0,-18,-1,1,3,1,4,1
1509765196668959,-3,-11,-2,-5,-1,2,2,0
1509765196668959,1,16,4,14,-2,-8,-5,-4
1509765196673962,1,7,-10,-33,-6,-2,-4,-1
1509765196673962,2,-13,8,22,-5,-1,-1,3
1509765196689973,-1,-12,-11,-10,14,-1,2,1
1509765196689973,-14,9,-6,2,-5,-3,-5,-4
1509765196705001,-4,2,2,7,-1,-4,-2,-4
1509765196705001,-5,-22,-19,-17,-3,-3,2,-1
1509765196710989,4,8,2,16,-3,3,2,0
1509765196710989,4,5,11,-7,-1,1,-1,2
1509765196735105,0,1,-2,5,-1,-2,-3,-1
1509765196735105,-2,-10,-3,-5,2,1,3,1
1509765196736106,0,1,0,-1,-1,-1,0,0
1509765196736106,2,7,-8,-6,2,1,-1,-1
1509765196758121,-5,-1,25,6,-1,-2,0,-3
1509765196758121,0,-6,-8,-1,3,3,-1,-2
1509765196760123,-3,-3,-13,-8,-5,-3,-5,-2
1509765196760123,-2,-1,-2,-3,-4,-1,-2,0
1509765196765119,1,5,14,10,3,2,2,-1
1509765196765119,0,-4,-9,2,5,3,0,0
1509765196766120,-4,-4,-5,-8,-5,-6,-3,-4
1509765196766120,4,7,10,1,-1,-2,-1,-1
1509765196787133,-3,-3,-6,-1,-2,-3,-2,-1
1509765196787133,-3,-2,16,-3,-1,1,-1,0
1509765196789134,-2,7,14,15,0,-2,-1,-2
1509765196789134,1,-3,-28,-18,2,-4,-1,-1
1509765196802153,0,3,-9,2,0,3,-1,1
1509765196802153,-4,-13,-4,-7,-4,-1,0,-1
1509765196810150,-2,-1,-13,-5,-8,-3,-1,-1
1509765196810150,1,3,10,7,-1,0,0,-1
1509765196824182,0,0,3,-3,0,-1,-1,0
1509765196824182,-3,3,33,5,2,-5,-2,-2
1509765196833227,0,1,-18,-9,-3,0,0,-3
1509765196833227,0,4,-16,0,1,5,5,0
1509765196855242,-4,-6,9,0,-1,-1,-6,-2
1509765196855242,1,-8,-23,-2,0,-5,-5,-1
1509765196856242,-1,2,8,-3,-2,-1,-2,2
1509765196856242,-4,10,20,4,0,-3,3,0
1509765196862249,2,0,-8,-2,-2,2,5,1
1509765196862249,-3,-3,7,-4,0,30,4,0
1509765196876271,1,8,8,2,2,-24,-2,-2
1509765196876271,-2,-21,-47,-7,-9,-26,-21,-6
1509765196885278,-2,5,37,8,0,-9,-6,0
1509765196885278,-2,-2,-14,-1,2,11,2,-2
1509765196886270,-3,-1,-28,-9,-4,6,7,-2
1509765196886270,2,0,-20,-3,-3,3,3,-1
1509765196908282,1,2,31,3,1,1,-1,0
1509765196908282,-8,-2,-40,-6,-3,-3,-2,-2
1509765196909295,0,8,10,1,1,8,-1,-1
1509765196909295,-1,0,27,5,3,-3,1,0
1509765196930451,0,-7,-10,-3,0,1,-2,0
1509765196930451,2,5,-1,0,-3,-13,0,0
1509765196931440,0,7,15,6,1,3,0,0
1509765196931440,-3,-8,-16,-7,-2,5,8,1
1509765196945448,3,-4,-30,-6,1,10,-13,-2
1509765196945448,-2,2,22,3,0,-5,21,0
1509765196946462,-4,-4,7,-4,-8,-34,-22,-6
