timestamp,x,y,z
1509765196283824,-0.4375,0,0.5625
1509765196306829,0,0.75,0.9375
1509765196322899,-0.125,0.875,0.3125
1509765196343441,-0.125,0.75,0.0625
1509765196366456,-0.125,0.4375,0.25
1509765196388482,-0.125,0.0625,0.1875
1509765196411500,0.1875,0.3125,0.4375
1509765196428670,0,0.25,0.4375
1509765196457680,0.5625,0.25,-0.1875
1509765196464685,0.3125,0.625,0.125
1509765196519245,1.0625,0.875,0.125
1509765196520244,0.625,1.4375,-0.375
1509765196531784,0.25,1.5,-0.5625
1509765196554843,0.125,1.9375,-0.625
1509765196565813,-0.3125,1.875,-0.625
1509765196593839,0.125,0.6875,-0.25
1509765196607841,0.0625,0.875,-0.1875
1509765196643948,0.4375,0.4375,-0.3125
1509765196653965,1.6875,0.6875,-0.3125
1509765196667958,1,-0.1875,0.125
1509765196688981,0.375,-0.5625,-0.375
1509765196705994,0.5,0.375,-1.125
1509765196736106,0.0625,-0.25,-0.4375
1509765196759112,-0.9375,-0.75,0.125
1509765196766120,-0.4375,-0.5625,0.25
1509765196788135,0.3125,-0.9375,0.5625
1509765196809158,-0.4375,-1.0625,0.125
1509765196832231,-0.375,-0.5625,0.625
1509765196856242,0.25,-1.5625,1.25
1509765196862249,0.8125,-1.875,0.8125
1509765196886270,3.6875,0.125,0.1875
1509765196909295,-0.9375,2.75,-1.25
1509765196931440,1.9375,0.375,1.125
1509765196945448,-0.5625,-1.5,5.25
1509765196968463,0.5625,-0.6875,5.625
1509765196989488,3.5625,-0.0625,4.375
1509765197021018,5.625,0.1875,5.3125
1509765197035558,1.875,-1.1875,4.9375
1509765197049568,1.1875,-1,3.9375
1509765197065580,3.125,3.25,1.5625
1509765197088602,3.25,3.6875,-0.125
1509765197109626,2.9375,1.5625,1.4375
1509765197133164,1,0.875,0.125
1509765197154191,1.3125,0.6875,-1.1875
1509765197177192,0.875,0.5625,-0.25
1509765197186213,3.5625,3.0625,-0.5
1509765197208215,0.9375,-0.5625,1.375
1509765197229779,0.25,-7.5,3.9375
1509765197245789,2.0625,-9.8125,3.6875
1509765197275810,0.75,-7.875,2.75
1509765197289821,0.625,-3.875,-1.875
1509765197305832,-5.9375,-3,-2.5
1509765197335915,-3.625,-0.875,-3.1875
1509765197348924,-2.4375,0.3125,-3.875
1509765197365936,-3.625,0.3125,-2.5625
1509765197387950,-1.1875,-1.5625,-1.1875
1509765197410967,-0.625,-0.5625,-1.1875
1509765197433501,0.125,1.25,-1.6875
1509765197456516,2,0.125,-0.875
1509765197470527,-0.5625,0.125,0.3125
1509765197485537,0.5,-0.125,-0.125
1509765197508555,-1.5625,0.8125,-0.5625
1509765197547603,-0.5,0.8125,-0.75
1509765197551605,-0.3125,1.125,-1.125
1509765197569619,-1.8125,0.3125,-0.5
1509765197591634,-0.625,-0.375,0.5625
1509765197604644,-0.5,-0.0625,0.75
1509765197641677,0.1875,0.25,0.875
1509765197650683,1.125,1.3125,0
1509765197673699,-0.9375,1.3125,0.125
1509765197694715,-0.75,-0.0625,-0.125
1509765197710724,-1.6875,0.3125,-0.125
